t,lowlevel_cnt,policy_run_steps,warmup,L_hip_pitch,L_hip_roll,L_hip_yaw,L_knee,L_ankle_pitch,L_ankle_roll,R_hip_pitch,R_hip_roll,R_hip_yaw,R_knee,R_ankle_pitch,R_ankle_roll
0.660000,660,660,1,-0.58029395,-1.28514791,-2.55485725,0.84626311,-0.96442050,0.84548742,-1.23467410,-0.66799581,-0.24757670,2.96355581,0.43086979,1.60821152
0.670000,670,670,1,-0.73889613,-1.47261536,-2.44869065,0.67030686,-0.77786970,1.13127160,-1.38413429,-0.02252388,-0.09555471,3.06867528,0.23753284,1.40702152
0.680000,680,680,1,-0.82557005,-1.50012493,-2.43378329,0.51561975,-0.52970904,1.31378794,-1.46989071,0.19847281,-0.04751760,3.12763309,0.14960955,1.35134375
0.690000,690,690,1,-0.86664104,-1.47294092,-2.37127852,0.38933039,-0.36994678,1.37328720,-1.52000630,0.24208000,-0.04221068,3.06429982,0.06898241,1.33352995
0.700000,700,700,1,-0.85124654,-1.39728069,-2.20237136,0.32463500,-0.28252989,1.34330034,-1.50088704,0.28890696,-0.01613076,2.86499381,-0.00138008,1.27317798
0.710000,710,710,1,-0.77736765,-1.32451880,-1.98843312,0.34616929,-0.24602377,1.28413773,-1.41747296,0.31501025,0.01523609,2.56294870,-0.04660108,1.17234659
0.720000,720,720,1,-0.70706576,-1.27099872,-1.80786180,0.32062843,-0.20310301,1.24492800,-1.32619119,0.31514966,0.08697478,2.31802201,-0.13368641,1.05624104
0.730000,730,730,1,-0.68883449,-1.33076203,-1.73532820,0.27114210,-0.11330288,1.24103975,-1.27771091,0.35980046,0.09651370,2.20103550,-0.22085698,0.93854475
0.740000,740,740,1,-0.73309100,-1.52472055,-1.65987504,0.22842051,-0.08356266,1.28738570,-1.31644487,0.51707935,0.08879308,2.21562862,-0.27051756,0.82833338
0.750000,750,750,1,-0.74269682,-1.72319961,-1.59682345,0.22455636,-0.06546038,1.32228982,-1.34784913,0.57259154,0.12476723,2.26250577,-0.28337035,0.71169603
0.760000,760,760,1,-0.73314810,-1.79014540,-1.54931355,0.24763204,0.01300437,1.30873179,-1.34439850,0.52190506,0.10356669,2.29154158,-0.28870746,0.61560202
0.770000,770,770,1,-0.78083676,-1.75181067,-1.50404620,0.24699077,0.13445193,1.30171001,-1.34846628,0.46858814,0.01258318,2.27216458,-0.28605536,0.53461921
0.780000,780,780,1,-0.89363390,-1.61520326,-1.41933572,0.20500876,0.21768540,1.28712106,-1.37111723,0.52126920,-0.08401443,2.18365240,-0.29695967,0.50446737
0.790000,790,790,1,-0.99653691,-1.48079121,-1.37700164,0.10875577,0.29046029,1.24674988,-1.36980796,0.54779088,-0.10723408,2.11502314,-0.34881157,0.50386137
0.800000,800,800,0,-1.04739571,-1.40591764,-1.37418211,0.07007461,0.34331506,1.18147516,-1.36654115,0.55724239,-0.10901047,2.03754687,-0.39890474,0.48574832
0.810000,810,810,0,-1.07233000,-1.37440586,-1.34534168,0.05269857,0.39520949,1.14213932,-1.35042787,0.52627945,-0.12775274,1.93016016,-0.42732215,0.41821954
0.820000,820,820,0,-1.08992720,-1.34594536,-1.27391529,0.02853148,0.43400317,1.11952078,-1.32171631,0.48716828,-0.15646549,1.79205000,-0.44267520,0.32328612
0.830000,830,830,0,-1.09343171,-1.29588485,-1.18882382,-0.01323483,0.40482640,1.09999073,-1.28317833,0.47456762,-0.16793664,1.64308262,-0.45515001,0.21758166
0.840000,840,840,0,-1.07215500,-1.25457406,-1.10633492,-0.04397784,0.36363858,1.07215667,-1.22682369,0.44219363,-0.16735299,1.48800969,-0.45115995,0.10245562
0.850000,850,850,0,-1.03771651,-1.20069385,-1.01078463,-0.06313277,0.30488706,1.02783060,-1.16569746,0.39189932,-0.17822619,1.30884421,-0.43718773,-0.02252185
0.860000,860,860,0,-0.99166662,-1.14759898,-0.91175544,-0.07111558,0.23650390,0.96748221,-1.09684968,0.32812780,-0.18828346,1.08883941,-0.42484188,-0.16089913
0.870000,870,870,0,-0.94748014,-1.08078945,-0.78033334,-0.07242499,0.15259153,0.87632567,-1.02022064,0.26135859,-0.20950662,0.83939719,-0.41745520,-0.31628492
0.880000,880,880,0,-0.91228729,-0.99224406,-0.63748759,-0.08009649,0.08070854,0.75000197,-0.93145615,0.18556006,-0.23611006,0.55578661,-0.40364361,-0.50562823
0.890000,890,890,0,-0.88119912,-0.87323785,-0.46610722,-0.08928052,0.00937698,0.56819552,-0.82459503,0.09117295,-0.28284457,0.20834754,-0.38147324,-0.74694133
0.900000,900,900,0,-0.83171386,-0.72593302,-0.26601499,-0.11493467,-0.08607440,0.32724884,-0.69070643,-0.00671236,-0.31760243,-0.22644205,-0.38138872,-1.04729795
0.910000,910,910,0,-0.77074021,-0.53185087,-0.02778183,-0.15714629,-0.20711046,-0.01120551,-0.54287195,-0.09104227,-0.30261600,-0.76198554,-0.40050545,-1.39302731
0.920000,920,920,0,-0.73663610,-0.29117084,0.22915959,-0.24082202,-0.27935135,-0.51282185,-0.38758990,-0.13444304,-0.13350368,-1.37003958,-0.44810006,-1.73217154
0.930000,930,930,0,-0.64093500,0.03566791,0.39455879,-0.47214767,-0.24896240,-1.29882002,-0.17668152,-0.09112005,0.46514109,-1.87475789,-0.49645919,-1.93613613
0.940000,940,940,0,-0.20077740,0.62948173,0.40115052,-1.05680001,-0.03787377,-2.21350336,0.22711086,0.07706255,1.43263149,-1.88236344,-0.40060896,-1.98475528
0.950000,950,950,0,0.33124915,1.01777089,0.39165229,-1.73041725,-0.13321027,-2.74782705,0.64327371,0.35386023,2.14573574,-1.58656919,-0.26500794,-1.91668427
0.960000,960,960,0,0.73004305,0.96679789,0.30500168,-2.22434497,-0.40172347,-2.87726283,0.87303686,0.65174401,2.49789667,-1.32056296,-0.08577223,-1.88707769
0.970000,970,970,0,0.95326012,0.77691108,0.13304806,-2.57942772,-0.62727338,-2.79949856,0.95117337,1.00691473,2.59488344,-1.05724180,0.08677863,-1.86063373
0.980000,980,980,0,1.07875299,0.50670701,-0.02400774,-2.83087921,-0.71149462,-2.65749645,0.93781179,1.37822342,2.58235288,-0.84281343,0.16840039,-1.80730188
0.990000,990,990,0,1.14218450,0.23412201,-0.12546778,-2.98246765,-0.72047329,-2.51250553,0.88956094,1.68238473,2.53018522,-0.68271470,0.22799979,-1.75629008
1.000000,1000,1000,0,1.16741729,0.00563924,-0.21039277,-3.02767420,-0.68424875,-2.36597109,0.81632113,1.92624938,2.44853830,-0.57166338,0.28232741,-1.70970297
1.010000,1010,1010,0,1.17978561,-0.18083894,-0.26742637,-2.99002981,-0.60830736,-2.26957512,0.74211204,2.09271908,2.31681061,-0.51368427,0.28322423,-1.67046082
1.020000,1020,1020,0,1.17134440,-0.29789704,-0.27982843,-2.87746859,-0.49577528,-2.23419261,0.66413009,2.15972996,2.13171291,-0.52318633,0.23026101,-1.62245774
1.030000,1030,1030,0,1.13150752,-0.34907854,-0.26966631,-2.73134089,-0.36016268,-2.24397802,0.57820147,2.14877892,1.93848109,-0.58087337,0.14307462,-1.56465816
1.040000,1040,1040,0,1.07432842,-0.34821117,-0.24339867,-2.54194164,-0.25320905,-2.26029229,0.50743419,2.11212134,1.75188041,-0.64810181,0.05402474,-1.51183414
1.050000,1050,1050,0,1.02239704,-0.29543471,-0.22432899,-2.36324000,-0.20515734,-2.25047922,0.46211889,2.07951903,1.59063113,-0.69150639,0.01080846,-1.46964443
1.060000,1060,1060,0,0.98165351,-0.22469167,-0.20298648,-2.25922823,-0.17227891,-2.22664952,0.43867460,2.09290004,1.47525179,-0.70575172,0.01404964,-1.44039488
1.070000,1070,1070,0,0.97155952,-0.21680789,-0.14425343,-2.21052933,-0.11534073,-2.22227621,0.45155951,2.10157466,1.38857818,-0.71618181,0.02902262,-1.41347492
1.080000,1080,1080,0,0.98521942,-0.25174522,-0.05480918,-2.20749187,-0.06590760,-2.23453140,0.48343191,2.08098602,1.29739189,-0.73979163,0.05058854,-1.38617861
1.090000,1090,1090,0,1.01209021,-0.28019494,0.00495237,-2.25572491,-0.07275594,-2.25228214,0.53049761,2.03384018,1.22310066,-0.74769127,0.10621099,-1.36911762
1.100000,1100,1100,0,1.04948163,-0.29051667,0.01445192,-2.31210423,-0.10271304,-2.26064610,0.58806574,1.96957994,1.18049169,-0.73483819,0.17913245,-1.35881412
1.110000,1110,1110,0,1.08346891,-0.29716831,0.01833063,-2.33867216,-0.13025731,-2.25961304,0.64511257,1.89684105,1.15833330,-0.71848285,0.22932009,-1.35183048
1.120000,1120,1120,0,1.09923100,-0.29205298,0.02402800,-2.31625605,-0.15270793,-2.24886370,0.69419020,1.82065821,1.13537693,-0.70660508,0.25226521,-1.34439921
1.130000,1130,1130,0,1.09611320,-0.28527439,0.03857145,-2.24265766,-0.16562039,-2.22758722,0.73536378,1.74323678,1.10323584,-0.69881988,0.25398803,-1.32981372
1.140000,1140,1140,0,1.07730389,-0.27520531,0.05141747,-2.12850809,-0.17420259,-2.19473267,0.76997250,1.66959023,1.05826592,-0.69182342,0.24873315,-1.30771089
1.150000,1150,1150,0,1.04536438,-0.26438463,0.06287998,-1.97632122,-0.17837968,-2.15206861,0.79926366,1.59990764,1.00189364,-0.68327159,0.23831110,-1.28107214
1.160000,1160,1160,0,0.99997860,-0.24911760,0.07774827,-1.78814554,-0.17533803,-2.10031915,0.81941289,1.53218424,0.94028896,-0.67108178,0.21980189,-1.24907780
1.170000,1170,1170,0,0.94465953,-0.22165690,0.10058379,-1.57231140,-0.16589335,-2.03746796,0.83091938,1.46391618,0.87280923,-0.65468025,0.19268762,-1.21061420
1.180000,1180,1180,0,0.88381594,-0.17949949,0.13524896,-1.33443439,-0.14997825,-1.96241081,0.83598822,1.38988280,0.79643363,-0.63300884,0.15627126,-1.16295266
1.190000,1190,1190,0,0.81752259,-0.12163714,0.17799126,-1.07787061,-0.13297245,-1.87373042,0.83268327,1.30786657,0.71749425,-0.60161132,0.11660539,-1.10571659
1.200000,1200,1200,0,0.74730563,-0.05431004,0.22433349,-0.79486352,-0.11851879,-1.76943219,0.82244676,1.21381783,0.62823164,-0.55874705,0.08046691,-1.03508782
1.210000,1210,1210,0,0.67271072,0.01859587,0.27101108,-0.46996954,-0.10950654,-1.64622092,0.80814368,1.08840549,0.51385874,-0.50218660,0.04558336,-0.94395268
1.220000,1220,1220,0,0.59175891,0.09860726,0.32469252,-0.10508605,-0.10531860,-1.50618196,0.79027820,0.92881584,0.36660540,-0.44171661,0.00698893,-0.82557786
1.230000,1230,1230,0,0.49952272,0.18070023,0.38204226,0.29784498,-0.11083948,-1.34718859,0.76765531,0.74904418,0.17684829,-0.38866639,-0.04812677,-0.65474510
1.240000,1240,1240,0,0.38060582,0.25916567,0.42658126,0.74110097,-0.13661304,-1.16391194,0.73629659,0.57166791,-0.07952477,-0.36120033,-0.16712849,-0.35718921
1.250000,1250,1250,0,0.19590606,0.30504757,0.41060632,1.25212145,-0.16496889,-0.94059318,0.73591161,0.42432848,-0.44954699,-0.39521188,-0.42851695,0.25673562
1.260000,1260,1260,0,-0.01440011,0.28450555,0.14601560,1.80981910,-0.21601030,-0.59507447,0.73858619,0.08037983,-0.91230625,-0.35567021,-0.77290732,1.24028015
1.270000,1270,1270,0,-0.28973728,0.02630822,-0.57507873,2.17426276,-0.35357749,-0.09640360,0.48286876,-0.54697788,-1.20958757,0.12295739,-0.88451070,2.56440067
1.280000,1280,1280,0,-0.43858930,-0.40426946,-1.70609784,1.67843699,-0.52069336,0.35478216,-0.09229710,-1.28085339,-0.90731406,1.53795409,-0.17641996,3.26574898
1.290000,1290,1290,0,-0.48950073,-0.91395646,-2.34676862,1.13639224,-0.87580550,0.60154462,-0.78492457,-1.27804637,-0.51250023,2.57889724,0.40180027,2.57196927
1.300000,1300,1300,0,-0.58223712,-1.28340936,-2.55567861,0.84379333,-0.96422237,0.84402066,-1.23711360,-0.66756618,-0.24807321,2.96380877,0.42942715,1.60905385
1.310000,1310,1310,0,-0.74069220,-1.47182751,-2.44873929,0.66806567,-0.77674872,1.13045907,-1.38552368,-0.02120000,-0.09601082,3.06778049,0.23526953,1.40796328
1.320000,1320,1320,0,-0.82673347,-1.49973559,-2.43414950,0.51331180,-0.52870673,1.31350446,-1.47066784,0.19918428,-0.04831974,3.12645626,0.14785849,1.35225153
1.330000,1330,1330,0,-0.86696410,-1.47332287,-2.37154841,0.38705447,-0.36916035,1.37357259,-1.52027106,0.24246290,-0.04290079,3.06294322,0.06776884,1.33428001
1.340000,1340,1340,0,-0.85072845,-1.39838016,-2.20276237,0.32289830,-0.28276950,1.34393227,-1.50073004,0.28934047,-0.01657562,2.86369038,-0.00178982,1.27374125
1.350000,1350,1350,0,-0.77608758,-1.32540131,-1.98834181,0.34539291,-0.24692965,1.28452229,-1.41684699,0.31495431,0.01531698,2.56126475,-0.04662232,1.17282212
1.360000,1360,1360,0,-0.70577699,-1.27148938,-1.80740952,0.31983277,-0.20418715,1.24503779,-1.32549345,0.31511986,0.08741166,2.31639194,-0.13397270,1.05675662
1.370000,1370,1370,0,-0.68777966,-1.33148623,-1.73567903,0.27034339,-0.11416601,1.24125648,-1.27727699,0.35981360,0.09688474,2.20030928,-0.22107016,0.93914461
1.380000,1380,1380,0,-0.73263109,-1.52591419,-1.66011035,0.22787653,-0.08463245,1.28784657,-1.31659389,0.51731205,0.08867283,2.21580887,-0.27073607,0.82897437
1.390000,1390,1390,0,-0.74214864,-1.72457910,-1.59714127,0.22436687,-0.06582736,1.32264209,-1.34806097,0.57239807,0.12464546,2.26257586,-0.28374335,0.71199620
1.400000,1400,1400,0,-0.73264968,-1.79083657,-1.54890704,0.24775143,0.01311154,1.30874491,-1.34437525,0.52177465,0.10368751,2.29106951,-0.28926557,0.61550772
1.410000,1410,1410,0,-0.78065455,-1.75168324,-1.50330544,0.24727418,0.13511574,1.30148566,-1.34840548,0.46845809,0.01267998,2.27112150,-0.28690526,0.53413105
1.420000,1420,1420,0,-0.89397067,-1.61416101,-1.41830480,0.20525031,0.21843559,1.28684497,-1.37118840,0.52133155,-0.08410992,2.18264151,-0.29745185,0.50409287
1.430000,1430,1430,0,-0.99692398,-1.47964847,-1.37641108,0.10853890,0.29104859,1.24643135,-1.36975420,0.54771733,-0.10699557,2.11444783,-0.34921533,0.50360471
1.440000,1440,1440,0,-1.04750383,-1.40519571,-1.37391770,0.07024290,0.34355533,1.18102157,-1.36650658,0.55707550,-0.10880990,2.03714132,-0.39906383,0.48564181
1.450000,1450,1450,0,-1.07234800,-1.37411821,-1.34509683,0.05298831,0.39540958,1.14186728,-1.35040712,0.52603698,-0.12772323,1.92979145,-0.42737162,0.41803607
1.460000,1460,1460,0,-1.08988762,-1.34584630,-1.27365601,0.02883785,0.43414152,1.11934698,-1.32164824,0.48686597,-0.15646227,1.79174078,-0.44268134,0.32311016
1.470000,1470,1470,0,-1.09339893,-1.29586852,-1.18861043,-0.01309706,0.40470207,1.09994400,-1.28314567,0.47445676,-0.16796912,1.64292490,-0.45518523,0.21742085
1.480000,1480,1480,0,-1.07203782,-1.25484455,-1.10625744,-0.04388117,0.36341155,1.07224679,-1.22676599,0.44210145,-0.16736515,1.48806047,-0.45110932,0.10230732
